Address,Latency
136.35.171.241-8333,129.47727272727272
136.35.204.117-8333,127.0
136.36.137.179-8333,172.42857142857142
136.37.176.126-8333,985.685
136.55.13.9-8333,108.3125
136.56.27.214-8333,105.57142857142857
136.56.7.138-8333,800.95
136.58.114.10-8333,118.90140845070422
137.25.140.167-8333,1299.134328358209
137.25.245.108-8333,180.5
137.26.100.77-8333,1696.5
137.59.187.126-8333,165.87272727272727
137.74.118.26-8333,45.98583569405099
138.197.162.209-8333,110.0
138.201.196.156-8333,1.0
138.201.206.35-8333,1.0196078431372548
138.201.207.220-8333,1.105263157894737
138.68.244.82-8333,162.78205128205127
138.68.67.3-8333,4.888888888888889
139.159.152.237-8333,222.575
139.59.247.235-8333,397.0977011494253
139.99.123.236-8333,158.1435185185185
139.99.40.151-8333,159.24757281553397
139.99.68.76-8333,158.16666666666666
14.116.205.182-8333,212.57142857142858
14.2.84.84-8333,333.6666666666667
14.203.57.50-8333,307.2638888888889
140.82.40.79-8333,98.33333333333333
140.82.62.166-8333,184.86046511627907
141.156.19.128-8333,100.5
141.164.53.145-8333,310.0
141.193.115.2-8333,194.92634560906515
142.105.27.218-8333,116.0
142.126.201.80-8333,101.41176470588235
142.202.241.37-8333,144.6315789473684
142.4.212.172-8333,163.18367346938774
142.54.181.218-8333,115.51351351351352
142.93.70.145-30200,81.43877551020408
143.198.77.30-8333,3178.6666666666665
143.59.248.153-8333,132.9189189189189
144.137.29.181-8333,304.92384105960264
144.172.126.116-8333,125.24579124579125
144.76.107.242-8333,1.0442477876106195
144.76.12.6-8333,1.0
144.76.136.174-8333,1.051094890510949
144.76.15.240-8333,1.0
144.76.156.185-8333,1.024390243902439
144.76.16.52-8333,1.0533333333333332
144.76.234.57-8333,1.0
144.76.39.233-8333,1.3076923076923077
144.76.71.116-33354,1.0
144.76.84.234-8333,1.0
144.76.9.243-8333,1.0214285714285714
144.76.92.36-8333,1.0
144.76.98.163-8333,54.29032258064516
144.91.67.109-8333,236.79597701149424
144.91.82.22-8333,19.31132075471698
144.91.87.159-8333,160.05555555555554
144.91.95.185-8333,20.568627450980394
145.132.50.204-8333,24.037735849056602
145.14.192.206-8333,25.136363636363637
145.239.1.94-8333,6.65625
145.239.119.216-8334,17.36231884057971
145.239.119.216-8336,18.64450867052023
145.239.133.16-8333,25.655172413793103
145.239.254.226-8333,17.92
145.239.9.3-8333,13.786931818181818
147.135.136.53-8333,13.869918699186991
148.170.212.44-8333,139.01492537313433
148.251.110.53-8333,3.0
148.251.110.54-8333,3.0285714285714285
148.251.131.164-8333,1.0851063829787233
148.251.178.72-8433,1.0232558139534884
148.251.186.234-8333,1.0
148.251.186.36-8333,1.0
148.251.236.212-8333,1.0
148.251.237.73-8333,37.666666666666664
148.251.48.231-8333,5.051282051282051
148.251.75.60-8333,1.5555555555555556
148.251.82.174-8333,1.7268518518518519
148.251.83.196-8333,1.0
148.66.57.202-8333,200.13223140495867
148.66.58.138-8333,199.33695652173913
149.210.189.102-8333,12.2953216374269
149.248.7.219-8333,156.15
149.28.46.48-8333,82.42776203966005
149.28.55.109-8333,120.68571428571428
149.81.153.3-8333,14.506787330316742
151.0.238.45-8333,21.433333333333334
151.106.34.139-8333,6.662280701754386
151.20.160.72-8333,166.40243902439025
151.205.188.39-8333,109.6842105263158
151.41.169.129-8333,286.9
151.42.248.166-8333,737.0
151.64.197.51-8333,21.0
151.80.34.113-8333,13.616822429906541
151.95.108.206-8333,23.666666666666668
152.168.230.130-8333,4133.333333333333
154.20.3.240-8333,168.96
154.209.4.76-8333,218.52147239263803
154.65.14.19-8333,194.06552706552708
154.8.232.212-8333,223.84177215189874
155.138.175.7-8333,113.85
156.236.73.247-8333,265.0
157.131.205.144-8333,171.8
157.138.20.22-8333,37.11764705882353
157.230.144.234-8333,164.87755102040816
157.230.221.126-8333,80.82068965517242
157.245.140.86-8333,80.91091954022988
157.90.126.249-8333,3.0
157.90.40.117-8333,3.0
157.90.5.235-8333,1.0
157.90.92.214-8333,1.0
158.58.188.37-8333,107.89473684210526
158.69.72.5-8333,95.92996108949416
158.69.79.136-8333,95.18103448275862
159.100.255.18-8333,11.400568181818182
159.196.121.245-8333,254.63636363636363
159.196.228.157-8333,282.32608695652175
159.2.134.70-8333,121.0
159.224.145.249-8333,1859.5
159.250.153.179-8333,142.83333333333334
159.250.153.179-8444,143.8
159.65.107.84-8333,163.17977528089887
159.65.135.148-8333,169.68857142857144
159.65.221.193-8333,205.43975903614458
159.65.24.5-8333,19.695652173913043
159.65.99.102-8333,167.89296636085626
159.69.115.164-8333,1.0
159.89.121.240-8333,108.88695652173914
159.89.183.74-8333,81.3323782234957
160.16.110.6-8333,257.63492063492066
160.16.219.87-8333,252.34582132564842
160.2.202.163-8333,187.5
161.35.180.237-8333,82.27272727272727
161.35.232.202-8333,168.26666666666668
161.53.201.178-8333,34.62841530054645
161.97.101.36-8333,8.5
161.97.107.17-8333,9.571428571428571
161.97.109.229-8333,9.20253164556962
161.97.141.29-8333,19.02127659574468
161.97.160.72-8333,15.955223880597014
161.97.161.74-8333,15.866666666666667
161.97.162.130-8333,16.189655172413794
161.97.70.157-8333,9.385245901639344
161.97.80.33-8333,8.346153846153847
162.0.210.82-8333,143.94444444444446
162.0.211.61-8333,151.2941176470588
162.0.213.26-8333,153.45454545454547
162.0.220.13-8333,143.51612903225808
162.0.220.156-8333,144.1
162.0.226.225-8333,148.5185185185185
162.0.226.57-8333,155.59285714285716
162.0.227.68-8333,150.74774774774775
162.0.233.227-30641,154.77075098814228
162.0.234.154-8333,152.70731707317074
162.156.219.13-8333,98.95283018867924
162.196.143.112-8332,137.57142857142858
162.209.1.233-8333,100.86494252873563
162.218.218.163-8333,138.16666666666666
162.227.162.49-8333,153.0
162.227.78.128-8333,177.30769230769232
162.243.172.179-8333,81.15714285714286
162.244.80.124-8333,102.5813953488372
162.244.80.208-8333,88.45014245014245
162.253.155.79-8333,183.56603773584905
162.255.137.142-8333,131.14736842105262
162.62.18.226-8333,39.47308781869688
163.158.202.112-8333,13.533898305084746
163.172.5.199-8333,16.21212121212121
163.172.61.154-8333,18.38
164.132.81.146-8333,138.66666666666666
164.68.124.225-8333,10.787878787878787
165.22.110.45-8333,169.14285714285714
165.22.193.24-8333,16.666666666666668
165.22.44.115-8333,81.31313131313131
165.227.145.138-8333,5.425675675675675
165.227.162.81-8333,5.0
165.227.203.131-8333,81.19658119658119
165.227.24.42-8333,164.456338028169
165.227.25.162-8333,164.95379537953795
167.132.252.225-8333,131.00653594771242
167.172.163.167-8333,5.071428571428571
167.172.61.145-8333,18.5
167.172.78.73-8333,172.7550432276657
167.179.180.94-8333,264.0
167.71.219.179-8333,172.88728323699422
167.71.7.109-8333,16.95138888888889
167.86.90.239-8333,20.86743515850144
167.99.39.114-8333,17.63953488372093
167.99.52.178-8333,97.97727272727273
168.119.0.182-8333,1.0
168.119.158.57-8333,1.043859649122807
168.119.18.7-8333,3.2176165803108807
168.119.79.89-8333,1.0
169.0.67.76-8333,188.07692307692307
170.75.163.136-8333,98.0
171.97.12.94-8333,207.0
172.103.172.26-8333,221.27
172.104.151.93-8333,108.71244635193133
172.104.81.87-8333,257.2717391304348
172.105.180.126-8555,295.70949720670393
172.105.21.216-8333,105.562874251497
172.91.99.51-8333,10820.888888888889
173.14.194.246-8333,134.5
173.17.69.206-8333,123.92307692307692
173.206.200.13-8333,149.88372093023256
173.212.193.159-8333,201.47826086956522
173.212.221.13-8333,37.76470588235294
173.212.235.237-8333,21.25438596491228
173.212.245.133-8333,20.669603524229075
173.212.247.235-8333,24.954545454545453
173.212.253.137-8333,14.113636363636363
173.230.157.253-8333,155.75988700564972
173.231.10.146-8633,137.01492537313433
173.231.60.106-8333,137.61904761904762
173.249.0.235-8333,14.067796610169491
173.249.25.217-8333,115.20285714285714
173.249.46.22-8333,12.640579710144927
173.249.5.217-8333,9.234463276836157
173.249.59.148-8333,12.247838616714697
173.255.194.65-8333,124.75
173.255.204.124-8333,126.46742209631728
173.66.5.31-8333,98.04545454545455
173.68.142.210-8333,95.5
